id_assinatura,id_cliente,id_plano,data_inicio,data_fim,status,motivo_cancelamento,churn_flag
A00046,C00046,P1,2020-12-29,,Ativa,,0
A00047,C00047,P2,2020-11-25,,Ativa,,0
A00048,C00048,P2,2021-01-08,2023-03-30,Cancelada,Preço,1
A00049,C00049,P1,2022-05-01,2024-02-02,Cancelada,Insatisfação,1
A00050,C00050,P2,2021-01-27,2025-01-01,Cancelada,Preço,1
A00051,C00051,P3,2021-01-13,2024-07-15,Cancelada,Preço,1
A00052,C00052,P1,2021-08-23,,Ativa,,0
A00053,C00053,P1,2020-10-25,2024-04-21,Cancelada,Concorrência,1
A00054,C00054,P2,2020-09-03,,Ativa,,0
A00055,C00055,P3,2021-03-15,,Ativa,,0
A00056,C00056,P1,2020-07-25,2023-07-26,Cancelada,Insatisfação,1
A00057,C00057,P1,2022-04-06,,Ativa,,0
A00058,C00058,P1,2022-09-28,,Ativa,,0
A00059,C00059,P1,2021-10-30,,Ativa,,0
A00060,C00060,P1,2021-05-30,,Ativa,,0
A00061,C00061,P2,2021-10-30,,Ativa,,0
A00062,C00062,P4,2021-05-04,,Ativa,,0
A00063,C00063,P1,2021-11-09,2024-04-27,Cancelada,Insatisfação,1
A00064,C00064,P1,2020-07-31,,Ativa,,0
A00065,C00065,P4,2021-02-05,,Ativa,,0
A00066,C00066,P1,2021-05-04,,Ativa,,0
A00067,C00067,P2,2020-09-27,,Ativa,,0
A00068,C00068,P2,2022-09-16,,Ativa,,0
A00069,C00069,P2,2020-09-08,,Ativa,,0
A00070,C00070,P1,2020-08-12,2023-08-23,Cancelada,Insatisfação,1
A00071,C00071,P3,2021-09-13,,Ativa,,0
A00072,C00072,P4,2022-03-03,,Ativa,,0
A00073,C00073,P2,2021-04-28,,Ativa,,0
A00074,C00074,P1,2022-02-19,,Ativa,,0
A00075,C00075,P1,2021-07-20,2023-03-05,Cancelada,Insatisfação,1
A00076,C00076,P1,2022-01-23,,Ativa,,0
A00077,C00077,P4,2021-12-29,2023-07-12,Cancelada,Concorrência,1
A00078,C00078,P3,2022-05-20,,Ativa,,0
A00079,C00079,P2,2022-08-22,,Ativa,,0
A00080,C00080,P3,2021-05-15,,Ativa,,0
A00081,C00081,P1,2021-08-09,2023-06-08,Cancelada,Preço,1
A00082,C00082,P3,2022-09-18,,Ativa,,0
A00083,C00083,P1,2022-08-03,2024-03-03,Cancelada,Preço,1
A00084,C00084,P2,2021-09-19,,Ativa,,0
A00085,C00085,P1,2021-03-02,,Ativa,,0
A00086,C00086,P2,2021-08-08,,Ativa,,0
A00087,C00087,P2,2022-03-07,2024-01-21,Cancelada,Preço,1
A00088,C00088,P1,2022-06-16,,Ativa,,0
A00089,C00089,P2,2020-12-27,,Ativa,,0
A00090,C00090,P2,2021-03-24,,Ativa,,0
A00091,C00091,P1,2021-04-21,,Ativa,,0
A00092,C00092,P1,2022-08-31,,Ativa,,0
A00093,C00093,P3,2021-10-07,,Ativa,,0
A00094,C00094,P2,2022-08-06,,Ativa,,0
A00095,C00095,P2,2022-10-08,,Ativa,,0
A00096,C00096,P3,2021-09-10,,Ativa,,0
A00097,C00097,P3,2021-05-17,2024-12-30,Cancelada,Preço,1
A00098,C00098,P4,2021-07-10,,Ativa,,0
A00099,C00099,P4,2021-08-22,,Ativa,,0
A00100,C00100,P3,2021-12-19,,Ativa,,0
A00101,C00101,P3,2021-01-26,,Ativa,,0
A00102,C00102,P2,2022-05-23,,Ativa,,0
A00103,C00103,P3,2021-11-02,,Ativa,,0
A00104,C00104,P2,2022-08-22,,Ativa,,0
A00105,C00105,P2,2022-09-17,2024-11-15,Cancelada,Concorrência,1
A00106,C00106,P3,2022-01-12,2024-11-21,Cancelada,Preço,1
A00107,C00107,P2,2022-04-14,,Ativa,,0
A00108,C00108,P2,2022-02-05,2024-10-08,Cancelada,Insatisfação,1
A00109,C00109,P2,2022-06-11,,Ativa,,0
A00110,C00110,P1,2021-02-17,,Ativa,,0
A00111,C00111,P2,2021-01-08,2024-04-30,Cancelada,Preço,1
A00112,C00112,P1,2020-07-20,,Ativa,,0
A00113,C00113,P1,2021-04-23,,Ativa,,0
A00114,C00114,P2,2021-03-22,,Ativa,,0
A00115,C00115,P1,2021-03-07,,Ativa,,0
A00116,C00116,P2,2022-02-03,,Ativa,,0
A00117,C00117,P3,2021-06-07,,Ativa,,0
A00118,C00118,P4,2020-08-31,2025-03-19,Cancelada,Insatisfação,1
A00119,C00119,P1,2020-07-19,2025-05-01,Cancelada,Preço,1
A00120,C00120,P2,2021-04-13,,Ativa,,0
A00121,C00121,P2,2022-01-01,,Ativa,,0
A00122,C00122,P1,2022-01-25,,Ativa,,0
A00123,C00123,P2,2021-09-29,,Ativa,,0
A00124,C00124,P2,2022-04-24,,Ativa,,0
A00125,C00125,P2,2021-02-10,,Ativa,,0
A00126,C00126,P4,2021-02-13,,Ativa,,0
A00127,C00127,P1,2022-05-06,2023-07-05,Cancelada,Insatisfação,1
A00128,C00128,P1,2022-11-30,,Ativa,,0
A00129,C00129,P1,2022-07-21,,Ativa,,0
A00130,C00130,P1,2021-06-12,,Ativa,,0
A00131,C00131,P1,2022-04-20,2025-07-05,Cancelada,Preço,1
A00132,C00132,P2,2021-09-22,2025-02-24,Cancelada,Insatisfação,1
A00133,C00133,P1,2022-07-04,,Ativa,,0
A00134,C00134,P1,2021-07-03,2024-03-17,Cancelada,Mudança de necessidade,1
A00135,C00135,P2,2020-11-24,2023-08-12,Cancelada,Insatisfação,1
A00136,C00136,P3,2021-09-21,,Ativa,,0
A00137,C00137,P2,2020-08-03,2023-11-07,Cancelada,Insatisfação,1
A00138,C00138,P2,2021-01-15,,Ativa,,0
A00139,C00139,P3,2021-03-28,,Ativa,,0
A00140,C00140,P2,2021-11-21,2023-08-15,Cancelada,Preço,1
A00141,C00141,P4,2021-03-14,,Ativa,,0
A00142,C00142,P1,2022-11-26,,Ativa,,0
A00143,C00143,P3,2022-08-31,,Ativa,,0
A00144,C00144,P1,2021-04-01,,Ativa,,0
A00145,C00145,P1,2021-01-24,,Ativa,,0
A00146,C00146,P3,2021-01-07,,Ativa,,0
A00147,C00147,P1,2022-10-07,,Ativa,,0
A00148,C00148,P3,2020-10-29,,Ativa,,0
A00149,C00149,P2,2022-09-20,,Ativa,,0
A00150,C00150,P3,2022-02-09,,Ativa,,0
A00151,C00151,P4,2020-08-03,,Ativa,,0
A00152,C00152,P2,2020-10-30,,Ativa,,0
A00153,C00153,P2,2021-06-28,,Ativa,,0
A00154,C00154,P1,2022-06-04,,Ativa,,0
A00155,C00155,P4,2021-02-12,2025-01-06,Cancelada,Preço,1
A00156,C00156,P1,2021-04-06,,Ativa,,0
A00157,C00157,P1,2020-08-03,2025-05-22,Cancelada,Atendimento,1
A00158,C00158,P2,2021-08-29,,Ativa,,0
A00159,C00159,P4,2022-08-19,,Ativa,,0
A00160,C00160,P3,2022-06-23,,Ativa,,0
A00161,C00161,P1,2022-10-10,,Ativa,,0
A00162,C00162,P1,2022-07-02,,Ativa,,0
A00163,C00163,P1,2022-07-23,,Ativa,,0
A00164,C00164,P1,2022-08-29,,Ativa,,0
A00165,C00165,P4,2020-10-09,,Ativa,,0
A00166,C00166,P1,2020-07-30,,Ativa,,0
A00167,C00167,P1,2022-05-31,,Ativa,,0
A00168,C00168,P2,2020-10-23,,Ativa,,0
A00169,C00169,P3,2021-11-21,,Ativa,,0
A00170,C00170,P2,2020-09-03,,Ativa,,0
A00171,C00171,P3,2022-08-19,2023-04-20,Cancelada,Concorrência,1
A00172,C00172,P4,2020-08-18,,Ativa,,0
A00173,C00173,P2,2021-11-02,,Ativa,,0
A00174,C00174,P3,2022-10-24,,Ativa,,0
A00175,C00175,P2,2022-11-27,,Ativa,,0
A00176,C00176,P3,2022-04-03,,Ativa,,0
A00177,C00177,P2,2022-08-11,,Ativa,,0
A00178,C00178,P3,2022-03-31,,Ativa,,0
A00179,C00179,P1,2021-05-24,,Ativa,,0
A00180,C00180,P1,2021-12-02,,Ativa,,0
A00181,C00181,P3,2022-07-19,,Ativa,,0
A00182,C00182,P2,2020-08-24,2024-07-29,Cancelada,Insatisfação,1
A00183,C00183,P1,2022-10-21,2023-09-15,Cancelada,Concorrência,1
A00184,C00184,P1,2021-01-30,,Ativa,,0
A00185,C00185,P2,2021-11-02,,Ativa,,0
A00186,C00186,P3,2022-09-13,,Ativa,,0
A00187,C00187,P1,2022-01-01,,Ativa,,0
A00188,C00188,P2,2021-03-13,,Ativa,,0
A00189,C00189,P2,2021-06-25,,Ativa,,0
A00190,C00190,P2,2021-11-27,,Ativa,,0
A00191,C00191,P4,2021-09-04,,Ativa,,0
A00192,C00192,P2,2021-07-09,2024-12-24,Cancelada,Concorrência,1
A00193,C00193,P1,2022-04-27,,Ativa,,0
A00194,C00194,P1,2022-09-04,,Ativa,,0
A00195,C00195,P3,2020-12-04,2024-12-12,Cancelada,Concorrência,1
A00196,C00196,P3,2021-05-14,,Ativa,,0
A00197,C00197,P3,2022-01-20,,Ativa,,0
A00198,C00198,P1,2021-08-12,2023-10-28,Cancelada,Insatisfação,1
A00199,C00199,P1,2021-09-15,,Ativa,,0
A00200,C00200,P1,2021-06-19,,Ativa,,0
A00201,C00201,P2,2021-06-04,,Ativa,,0
A00202,C00202,P1,2021-12-22,,Ativa,,0
A00203,C00203,P4,2022-03-06,,Ativa,,0
A00204,C00204,P2,2022-03-27,2023-12-04,Cancelada,Atendimento,1
A00205,C00205,P2,2022-05-08,2023-04-29,Cancelada,Atendimento,1
A00206,C00206,P3,2021-06-23,,Ativa,,0
A00207,C00207,P2,2022-08-25,,Ativa,,0
A00208,C00208,P4,2020-11-24,,Ativa,,0
A00209,C00209,P2,2021-07-11,,Ativa,,0
A00210,C00210,P1,2021-07-14,,Ativa,,0
A00211,C00211,P2,2020-11-18,,Ativa,,0
A00212,C00212,P2,2021-07-04,,Ativa,,0
A00213,C00213,P1,2021-10-25,2025-07-20,Cancelada,Insatisfação,1
A00214,C00214,P1,2022-10-24,2024-01-09,Cancelada,Concorrência,1
A00215,C00215,P2,2022-07-12,,Ativa,,0
A00216,C00216,P3,2021-06-05,,Ativa,,0
A00217,C00217,P2,2021-04-14,,Ativa,,0
A00218,C00218,P3,2021-04-14,,Ativa,,0
A00219,C00219,P1,2022-10-31,,Ativa,,0
A00220,C00220,P1,2021-08-07,,Ativa,,0
A00221,C00221,P2,2021-11-12,,Ativa,,0
A00222,C00222,P1,2021-03-18,,Ativa,,0
A00223,C00223,P1,2020-10-04,,Ativa,,0
A00224,C00224,P1,2022-02-11,2024-04-19,Cancelada,Atendimento,1
A00225,C00225,P1,2020-10-02,2024-02-13,Cancelada,Insatisfação,1
A00226,C00226,P2,2020-08-07,,Ativa,,0
A00227,C00227,P2,2022-04-01,2025-08-09,Cancelada,Insatisfação,1
A00228,C00228,P1,2022-08-22,2023-09-21,Cancelada,Insatisfação,1
A00229,C00229,P4,2021-08-01,,Ativa,,0
A00230,C00230,P1,2022-06-06,,Ativa,,0
A00231,C00231,P1,2022-05-26,,Ativa,,0
A00232,C00232,P4,2021-06-14,,Ativa,,0
A00233,C00233,P3,2022-06-19,,Ativa,,0
A00234,C00234,P3,2021-03-17,,Ativa,,0
A00235,C00235,P1,2021-08-01,2024-03-08,Cancelada,Preço,1
A00236,C00236,P3,2022-11-21,2025-04-30,Cancelada,Preço,1
A00237,C00237,P2,2021-10-13,,Ativa,,0
A00238,C00238,P1,2020-10-28,,Ativa,,0
A00239,C00239,P3,2020-10-13,,Ativa,,0
A00240,C00240,P2,2022-09-30,,Ativa,,0
A00241,C00241,P1,2021-09-06,2023-06-19,Cancelada,Atendimento,1
A00242,C00242,P2,2021-10-03,,Ativa,,0
A00243,C00243,P1,2021-10-23,,Ativa,,0
A00244,C00244,P2,2022-09-23,,Ativa,,0
A00245,C00245,P3,2021-11-14,,Ativa,,0
A00246,C00246,P2,2022-08-03,,Ativa,,0
A00247,C00247,P1,2020-10-19,,Ativa,,0
A00248,C00248,P1,2022-02-23,2023-06-28,Cancelada,Concorrência,1
A00249,C00249,P4,2022-03-31,2025-05-04,Cancelada,Atendimento,1
A00250,C00250,P2,2021-10-17,,Ativa,,0
A00251,C00251,P4,2020-08-19,,Ativa,,0
A00252,C00252,P3,2022-01-29,,Ativa,,0
A00253,C00253,P4,2021-05-12,,Ativa,,0
A00254,C00254,P1,2022-05-28,,Ativa,,0
A00255,C00255,P3,2022-10-04,,Ativa,,0
A00256,C00256,P1,2021-08-29,,Ativa,,0
A00257,C00257,P1,2021-03-25,,Ativa,,0
A00258,C00258,P2,2022-01-26,,Ativa,,0
A00259,C00259,P3,2020-12-20,,Ativa,,0
A00260,C00260,P3,2022-01-21,,Ativa,,0
A00261,C00261,P3,2020-10-14,,Ativa,,0
A00262,C00262,P3,2021-04-13,,Ativa,,0
A00263,C00263,P1,2021-07-09,,Ativa,,0
A00264,C00264,P2,2022-06-12,,Ativa,,0
A00265,C00265,P4,2022-10-29,,Ativa,,0
A00266,C00266,P2,2021-07-03,2025-06-15,Cancelada,Insatisfação,1
A00267,C00267,P2,2022-11-26,,Ativa,,0
A00268,C00268,P1,2020-08-29,2024-01-23,Cancelada,Insatisfação,1
A00269,C00269,P1,2022-03-19,,Ativa,,0
A00270,C00270,P2,2022-01-29,,Ativa,,0
A00271,C00271,P2,2020-12-13,,Ativa,,0
A00272,C00272,P1,2022-10-20,2025-02-01,Cancelada,Insatisfação,1
A00273,C00273,P1,2021-01-01,,Ativa,,0
A00274,C00274,P3,2020-10-23,2025-07-03,Cancelada,Atendimento,1
A00275,C00275,P3,2021-01-08,,Ativa,,0
A00276,C00276,P2,2022-10-09,,Ativa,,0
A00277,C00277,P3,2021-10-22,,Ativa,,0
A00278,C00278,P1,2021-01-25,2024-06-18,Cancelada,Concorrência,1
A00279,C00279,P3,2022-03-03,,Ativa,,0
A00280,C00280,P1,2021-09-03,2025-02-20,Cancelada,Insatisfação,1
A00281,C00281,P2,2021-06-26,,Ativa,,0
A00282,C00282,P2,2022-02-07,,Ativa,,0
A00283,C00283,P4,2021-06-17,,Ativa,,0
A00284,C00284,P2,2022-01-30,,Ativa,,0
A00285,C00285,P2,2022-05-16,2024-09-17,Cancelada,Insatisfação,1
A00286,C00286,P1,2021-09-08,,Ativa,,0
A00287,C00287,P1,2021-07-30,,Ativa,,0
A00288,C00288,P2,2022-01-03,,Ativa,,0
A00289,C00289,P4,2021-04-05,2023-08-30,Cancelada,Concorrência,1
A00290,C00290,P3,2020-08-03,,Ativa,,0
A00291,C00291,P1,2020-11-30,,Ativa,,0
A00292,C00292,P2,2021-05-25,,Ativa,,0
A00293,C00293,P4,2020-10-06,,Ativa,,0
A00294,C00294,P4,2020-09-08,,Ativa,,0
A00295,C00295,P3,2021-04-17,,Ativa,,0
A00296,C00296,P2,2021-07-26,,Ativa,,0
A00297,C00297,P4,2021-12-11,,Ativa,,0
A00298,C00298,P1,2022-01-10,2023-04-12,Cancelada,Preço,1
A00299,C00299,P1,2021-01-08,,Ativa,,0
A00300,C00300,P2,2021-02-26,,Ativa,,0
A00301,C00301,P3,2021-08-29,,Ativa,,0
A00302,C00302,P3,2020-09-05,,Ativa,,0
A00303,C00303,P1,2021-06-10,,Ativa,,0
A00304,C00304,P1,2021-03-13,,Ativa,,0
A00305,C00305,P1,2021-11-15,,Ativa,,0
A00306,C00306,P1,2021-05-13,2023-05-25,Cancelada,Concorrência,1
A00307,C00307,P2,2021-11-30,,Ativa,,0
A00308,C00308,P2,2020-12-05,,Ativa,,0
A00309,C00309,P3,2022-10-30,,Ativa,,0
A00310,C00310,P2,2022-08-09,,Ativa,,0
A00311,C00311,P1,2020-10-15,2023-12-09,Cancelada,Insatisfação,1
A00312,C00312,P3,2021-08-29,2024-10-23,Cancelada,Preço,1
A00313,C00313,P4,2022-05-02,,Ativa,,0
A00314,C00314,P1,2020-08-30,2023-10-31,Cancelada,Preço,1
A00315,C00315,P1,2022-02-09,,Ativa,,0
A00316,C00316,P2,2022-10-03,2023-11-17,Cancelada,Insatisfação,1
A00317,C00317,P3,2020-10-14,2025-05-31,Cancelada,Atendimento,1
A00318,C00318,P1,2021-10-16,,Ativa,,0
A00319,C00319,P2,2022-11-30,,Ativa,,0
A00320,C00320,P3,2021-07-14,,Ativa,,0
A00321,C00321,P1,2020-09-16,2025-08-30,Cancelada,Atendimento,1
A00322,C00322,P4,2022-05-09,,Ativa,,0
A00323,C00323,P1,2021-11-17,2023-03-09,Cancelada,Insatisfação,1
A00324,C00324,P3,2022-12-01,2025-04-17,Cancelada,Insatisfação,1
A00325,C00325,P2,2022-11-24,,Ativa,,0
A00326,C00326,P2,2022-08-19,,Ativa,,0
A00327,C00327,P3,2021-02-14,2024-06-26,Cancelada,Atendimento,1
A00328,C00328,P1,2021-10-07,,Ativa,,0
A00329,C00329,P1,2021-04-08,,Ativa,,0
A00330,C00330,P1,2021-03-28,2025-07-05,Cancelada,Insatisfação,1
A00331,C00331,P2,2022-05-06,,Ativa,,0
A00332,C00332,P1,2021-11-02,2024-05-17,Cancelada,Atendimento,1
A00333,C00333,P3,2021-11-28,,Ativa,,0
A00334,C00334,P2,2022-11-15,,Ativa,,0
A00335,C00335,P1,2021-07-02,,Ativa,,0
A00336,C00336,P1,2022-09-08,,Ativa,,0
A00337,C00337,P1,2021-10-28,,Ativa,,0
A00338,C00338,P3,2022-08-06,,Ativa,,0
A00339,C00339,P2,2022-08-02,,Ativa,,0
A00340,C00340,P1,2022-06-15,,Ativa,,0
A00341,C00341,P1,2021-12-24,,Ativa,,0
A00342,C00342,P2,2022-10-07,,Ativa,,0
A00343,C00343,P1,2021-01-11,,Ativa,,0
A00344,C00344,P3,2022-07-02,,Ativa,,0
A00345,C00345,P1,2022-02-28,2025-05-28,Cancelada,Insatisfação,1
A00346,C00346,P1,2021-10-18,2025-06-25,Cancelada,Preço,1
A00347,C00347,P2,2021-11-20,,Ativa,,0
A00348,C00348,P1,2020-11-12,,Ativa,,0
A00349,C00349,P2,2021-12-24,2023-08-31,Cancelada,Mudança de necessidade,1
A00350,C00350,P2,2022-07-10,2024-11-14,Cancelada,Preço,1
A00351,C00351,P2,2021-08-20,,Ativa,,0
A00352,C00352,P1,2022-04-04,2024-03-12,Cancelada,Insatisfação,1
A00353,C00353,P3,2021-08-26,,Ativa,,0
A00354,C00354,P3,2021-08-12,2024-02-01,Cancelada,Insatisfação,1
A00355,C00355,P1,2021-08-15,,Ativa,,0
A00356,C00356,P2,2022-07-04,,Ativa,,0
A00357,C00357,P2,2020-08-15,2025-04-26,Cancelada,Concorrência,1
A00358,C00358,P2,2022-07-31,2025-01-06,Cancelada,Atendimento,1
A00359,C00359,P3,2020-12-30,,Ativa,,0
A00360,C00360,P1,2022-08-30,,Ativa,,0
A00361,C00361,P4,2020-08-13,,Ativa,,0
A00362,C00362,P1,2022-10-28,2024-03-09,Cancelada,Insatisfação,1
A00363,C00363,P3,2022-10-01,,Ativa,,0
A00364,C00364,P3,2020-09-10,,Ativa,,0
A00365,C00365,P3,2021-05-02,,Ativa,,0
A00366,C00366,P2,2022-10-04,,Ativa,,0
A00367,C00367,P4,2022-03-24,,Ativa,,0
A00368,C00368,P4,2021-12-04,,Ativa,,0
A00369,C00369,P2,2022-11-04,,Ativa,,0
A00370,C00370,P3,2022-01-20,,Ativa,,0
A00371,C00371,P1,2021-07-31,,Ativa,,0
A00372,C00372,P1,2022-10-03,,Ativa,,0
A00373,C00373,P3,2022-09-19,,Ativa,,0
A00374,C00374,P1,2021-02-06,2025-08-18,Cancelada,Preço,1
A00375,C00375,P4,2022-04-18,2023-04-17,Cancelada,Preço,1
A00376,C00376,P3,2020-10-04,,Ativa,,0
A00377,C00377,P4,2021-02-16,,Ativa,,0
A00378,C00378,P1,2020-08-13,,Ativa,,0
A00379,C00379,P1,2020-09-18,,Ativa,,0
A00380,C00380,P4,2021-12-08,,Ativa,,0
A00381,C00381,P2,2022-06-19,,Ativa,,0
A00382,C00382,P1,2021-11-13,,Ativa,,0
A00383,C00383,P4,2020-12-11,,Ativa,,0
A00384,C00384,P2,2021-10-09,2024-01-29,Cancelada,Insatisfação,1
A00385,C00385,P1,2021-04-26,,Ativa,,0
A00386,C00386,P1,2022-05-12,2025-05-22,Cancelada,Mudança de necessidade,1
A00387,C00387,P2,2022-01-21,,Ativa,,0
A00388,C00388,P2,2022-05-25,2024-02-26,Cancelada,Insatisfação,1
A00389,C00389,P3,2022-09-30,2024-04-21,Cancelada,Preço,1
A00390,C00390,P2,2020-07-25,,Ativa,,0
A00391,C00391,P4,2022-04-05,,Ativa,,0
A00392,C00392,P4,2022-07-05,,Ativa,,0
A00393,C00393,P3,2022-10-20,,Ativa,,0
A00394,C00394,P3,2020-11-18,2024-05-28,Cancelada,Concorrência,1
A00395,C00395,P3,2021-08-20,,Ativa,,0
A00396,C00396,P1,2022-08-16,,Ativa,,0
A00397,C00397,P3,2021-11-05,,Ativa,,0
A00398,C00398,P2,2022-10-24,,Ativa,,0
A00399,C00399,P4,2022-11-12,,Ativa,,0
A00400,C00400,P2,2020-11-01,,Ativa,,0
A00401,C00401,P1,2022-04-30,,Ativa,,0
A00402,C00402,P2,2021-10-15,,Ativa,,0
A00403,C00403,P3,2020-07-28,,Ativa,,0
A00404,C00404,P3,2021-10-22,,Ativa,,0
A00405,C00405,P1,2021-04-11,,Ativa,,0
A00406,C00406,P2,2021-04-26,,Ativa,,0
A00407,C00407,P2,2020-09-24,,Ativa,,0
A00408,C00408,P1,2020-12-03,,Ativa,,0
A00409,C00409,P1,2021-01-08,2024-05-30,Cancelada,Insatisfação,1
A00410,C00410,P4,2021-02-08,2024-11-04,Cancelada,Preço,1
A00411,C00411,P1,2021-02-15,2024-11-12,Cancelada,Preço,1
A00412,C00412,P2,2021-10-15,2023-06-19,Cancelada,Insatisfação,1
A00413,C00413,P1,2021-10-14,,Ativa,,0
A00414,C00414,P1,2021-01-14,,Ativa,,0
A00415,C00415,P3,2022-02-05,,Ativa,,0
A00416,C00416,P2,2021-01-31,2023-09-10,Cancelada,Concorrência,1
A00417,C00417,P3,2022-03-11,,Ativa,,0
A00418,C00418,P3,2021-08-06,,Ativa,,0
A00419,C00419,P2,2022-07-15,,Ativa,,0
A00420,C00420,P4,2020-09-26,,Ativa,,0
A00421,C00421,P1,2022-02-25,,Ativa,,0
A00422,C00422,P3,2021-10-15,2024-10-28,Cancelada,Preço,1
A00423,C00423,P3,2022-01-07,,Ativa,,0
A00424,C00424,P1,2022-08-19,,Ativa,,0
A00425,C00425,P1,2021-08-23,,Ativa,,0
A00426,C00426,P4,2020-10-25,,Ativa,,0
A00427,C00427,P1,2022-04-30,2025-05-26,Cancelada,Insatisfação,1
A00428,C00428,P2,2020-10-04,2023-10-16,Cancelada,Atendimento,1
A00429,C00429,P2,2022-10-14,,Ativa,,0
A00430,C00430,P2,2022-01-28,2025-02-24,Cancelada,Insatisfação,1
A00431,C00431,P3,2020-08-04,,Ativa,,0
A00432,C00432,P3,2020-08-03,,Ativa,,0
A00433,C00433,P1,2022-05-04,2025-04-16,Cancelada,Concorrência,1
A00434,C00434,P4,2022-09-01,,Ativa,,0
A00435,C00435,P2,2022-02-02,,Ativa,,0
A00436,C00436,P3,2020-11-06,,Ativa,,0
A00437,C00437,P1,2021-12-31,,Ativa,,0
A00438,C00438,P1,2021-10-19,,Ativa,,0
A00439,C00439,P2,2022-08-09,,Ativa,,0
A00440,C00440,P4,2022-05-31,,Ativa,,0
A00441,C00441,P2,2021-07-26,2024-06-22,Cancelada,Concorrência,1
A00442,C00442,P1,2020-10-08,,Ativa,,0
A00443,C00443,P2,2022-08-27,2023-07-26,Cancelada,Insatisfação,1
A00444,C00444,P3,2021-02-12,,Ativa,,0
A00445,C00445,P1,2022-01-08,,Ativa,,0
A00446,C00446,P2,2021-08-19,,Ativa,,0
A00447,C00447,P1,2020-10-30,,Ativa,,0
A00448,C00448,P1,2021-02-18,,Ativa,,0
A00449,C00449,P1,2020-08-18,2025-08-13,Cancelada,Concorrência,1
A00450,C00450,P3,2020-10-16,2024-01-28,Cancelada,Insatisfação,1
A00451,C00451,P1,2022-10-17,2023-06-16,Cancelada,Atendimento,1
A00452,C00452,P2,2022-04-26,2024-04-03,Cancelada,Preço,1
A00453,C00453,P1,2022-07-29,,Ativa,,0
A00454,C00454,P2,2020-07-27,,Ativa,,0
A00455,C00455,P1,2022-08-18,,Ativa,,0
A00456,C00456,P1,2022-02-25,2024-09-14,Cancelada,Atendimento,1
A00457,C00457,P1,2020-12-16,,Ativa,,0
A00458,C00458,P3,2022-05-02,,Ativa,,0
A00459,C00459,P2,2021-07-05,,Ativa,,0
A00460,C00460,P2,2022-02-13,,Ativa,,0
A00461,C00461,P1,2022-05-12,,Ativa,,0
