id_uso,id_cliente,competencia,logins_mes,horas_uso,funcionalidades_usadas
U0000206,C00002,2023-07-01,22,30.0,13
U0000207,C00002,2023-08-01,24,31.8,19
U0000208,C00002,2023-09-01,20,46.1,17
U0000209,C00002,2023-10-01,16,28.6,16
U0000210,C00002,2023-11-01,22,47.1,18
U0000211,C00002,2023-12-01,23,35.0,21
U0000212,C00002,2024-01-01,21,30.3,16
U0000213,C00002,2024-02-01,19,41.9,21
U0000214,C00002,2024-03-01,20,29.7,19
U0000215,C00002,2024-04-01,16,35.3,16
U0000216,C00002,2024-05-01,20,33.2,19
U0000217,C00002,2024-06-01,21,42.4,18
U0000218,C00002,2024-07-01,24,45.6,19
U0000219,C00002,2024-08-01,25,29.0,18
U0000220,C00002,2024-09-01,20,45.3,19
U0000221,C00002,2024-10-01,21,30.3,16
U0000222,C00002,2024-11-01,21,27.7,18
U0000223,C00002,2024-12-01,28,46.3,16
U0000224,C00002,2025-01-01,25,39.5,16
U0000225,C00002,2025-02-01,26,44.5,17
U0000226,C00002,2025-03-01,21,45.0,21
U0000227,C00002,2025-04-01,18,30.0,17
U0000228,C00002,2025-05-01,21,38.6,16
U0000229,C00002,2025-06-01,26,26.1,17
U0000230,C00002,2025-07-01,21,32.3,16
U0000231,C00002,2025-08-01,17,28.9,17
U0000300,C00003,2023-01-01,4,6.2,6
U0000301,C00003,2023-02-01,10,6.1,3
U0000302,C00003,2023-03-01,9,6.4,4
U0000303,C00003,2023-04-01,2,6.2,6
U0000304,C00003,2023-05-01,2,6.1,1
U0000305,C00003,2023-06-01,6,10.1,6
U0000306,C00003,2023-07-01,9,9.1,3
U0000307,C00003,2023-08-01,8,7.8,4
U0000308,C00003,2023-09-01,1,9.4,0
U0000309,C00003,2023-10-01,0,9.0,4
U0000310,C00003,2023-11-01,8,7.5,2
U0000311,C00003,2023-12-01,0,8.2,3
U0000312,C00003,2024-01-01,8,10.2,6
U0000313,C00003,2024-02-01,10,6.6,3
U0000314,C00003,2024-03-01,0,10.6,8
U0000315,C00003,2024-04-01,2,9.8,2
U0000316,C00003,2024-05-01,7,6.2,3
U0000317,C00003,2024-06-01,9,9.5,2
U0000318,C00003,2024-07-01,6,9.9,3
U0000319,C00003,2024-08-01,3,6.9,3
U0000320,C00003,2024-09-01,4,10.7,5
U0000321,C00003,2024-10-01,5,6.4,7
U0000322,C00003,2024-11-01,12,2.9,1
U0000323,C00003,2024-12-01,1,2.4,0
U0000324,C00003,2025-01-01,0,0.9,0
U0000400,C00004,2023-01-01,13,9.4,4
U0000401,C00004,2023-02-01,4,9.3,2
U0000402,C00004,2023-03-01,0,4.9,2
U0000500,C00005,2023-01-01,14,18.5,8
U0000501,C00005,2023-02-01,16,23.1,13
U0000502,C00005,2023-03-01,16,17.5,11
U0000503,C00005,2023-04-01,7,25.3,8
U0000504,C00005,2023-05-01,13,19.6,12
U0000505,C00005,2023-06-01,8,23.2,10
U0000506,C00005,2023-07-01,9,24.9,10
U0000507,C00005,2023-08-01,14,23.5,10
U0000508,C00005,2023-09-01,11,18.7,9
U0000509,C00005,2023-10-01,13,17.0,8
U0000510,C00005,2023-11-01,13,27.4,10
U0000511,C00005,2023-12-01,21,29.1,9
U0000512,C00005,2024-01-01,13,18.7,8
U0000513,C00005,2024-02-01,19,22.2,8
U0000514,C00005,2024-03-01,15,19.0,11
U0000515,C00005,2024-04-01,17,26.5,11
U0000516,C00005,2024-05-01,11,16.8,13
U0000517,C00005,2024-06-01,19,21.9,12
U0000518,C00005,2024-07-01,11,24.5,11
U0000519,C00005,2024-08-01,14,16.1,10
U0000520,C00005,2024-09-01,18,25.6,15
U0000521,C00005,2024-10-01,15,26.1,11
U0000522,C00005,2024-11-01,10,16.2,12
U0000523,C00005,2024-12-01,15,21.5,10
U0000524,C00005,2025-01-01,13,23.9,9
U0000525,C00005,2025-02-01,9,19.0,13
U0000526,C00005,2025-03-01,2,25.0,13
U0000527,C00005,2025-04-01,10,26.3,14
U0000528,C00005,2025-05-01,10,24.6,10
U0000529,C00005,2025-06-01,11,26.5,14
U0000530,C00005,2025-07-01,18,19.7,13
U0000531,C00005,2025-08-01,16,18.0,15
U0000600,C00006,2023-01-01,24,27.0,13
U0000601,C00006,2023-02-01,18,22.7,12
U0000602,C00006,2023-03-01,19,36.0,16
U0000603,C00006,2023-04-01,15,30.6,15
U0000604,C00006,2023-05-01,23,24.1,12
U0000605,C00006,2023-06-01,17,33.0,12
U0000606,C00006,2023-07-01,11,25.5,16
U0000607,C00006,2023-08-01,20,22.4,15
U0000608,C00006,2023-09-01,16,26.6,15
U0000609,C00006,2023-10-01,15,21.3,14
U0000610,C00006,2023-11-01,23,25.4,16
U0000611,C00006,2023-12-01,14,22.7,14
U0000612,C00006,2024-01-01,22,27.4,15
U0000613,C00006,2024-02-01,20,24.2,14
U0000614,C00006,2024-03-01,13,34.5,16
U0000615,C00006,2024-04-01,23,37.9,15
U0000616,C00006,2024-05-01,22,34.0,14
U0000617,C00006,2024-06-01,14,38.3,13
U0000618,C00006,2024-07-01,21,34.8,15
U0000619,C00006,2024-08-01,24,26.7,12
U0000620,C00006,2024-09-01,21,20.8,15
U0000621,C00006,2024-10-01,21,38.0,16
U0000622,C00006,2024-11-01,22,31.1,14
U0000623,C00006,2024-12-01,15,32.2,14
U0000624,C00006,2025-01-01,19,30.1,12
U0000625,C00006,2025-02-01,17,37.4,13
U0000626,C00006,2025-03-01,23,25.3,14
U0000627,C00006,2025-04-01,13,32.8,15
U0000628,C00006,2025-05-01,21,34.7,18
U0000629,C00006,2025-06-01,13,24.9,15
U0000630,C00006,2025-07-01,20,29.1,17
U0000631,C00006,2025-08-01,18,35.0,16
U0000700,C00007,2023-01-01,27,30.7,19
U0000701,C00007,2023-02-01,18,36.4,16
U0000702,C00007,2023-03-01,29,40.0,14
U0000703,C00007,2023-04-01,22,31.5,16
U0000704,C00007,2023-05-01,21,44.5,17
U0000705,C00007,2023-06-01,25,33.7,15
U0000706,C00007,2023-07-01,26,30.3,17
U0000707,C00007,2023-08-01,18,39.2,14
U0000708,C00007,2023-09-01,19,43.3,15
U0000709,C00007,2023-10-01,29,25.5,16
U0000710,C00007,2023-11-01,23,26.5,16
U0000711,C00007,2023-12-01,19,25.9,19
U0000712,C00007,2024-01-01,20,45.2,19
U0000713,C00007,2024-02-01,29,30.4,19
U0000714,C00007,2024-03-01,15,41.0,16
U0000715,C00007,2024-04-01,29,35.6,17
U0000716,C00007,2024-05-01,18,41.2,16
U0000717,C00007,2024-06-01,17,38.1,16
U0000718,C00007,2024-07-01,22,32.2,14
U0000719,C00007,2024-08-01,23,36.0,15
U0000720,C00007,2024-09-01,17,35.3,19
U0000721,C00007,2024-10-01,27,30.1,15
U0000722,C00007,2024-11-01,17,36.4,18
U0000723,C00007,2024-12-01,24,32.3,16
U0000724,C00007,2025-01-01,13,42.2,17
U0000725,C00007,2025-02-01,22,40.4,16
U0000726,C00007,2025-03-01,18,41.3,15
U0000727,C00007,2025-04-01,22,28.2,12
U0000728,C00007,2025-05-01,21,30.4,14
U0000729,C00007,2025-06-01,26,36.0,17
U0000730,C00007,2025-07-01,23,31.3,18
U0000731,C00007,2025-08-01,22,35.8,13
U0000800,C00008,2023-01-01,13,18.1,9
U0000801,C00008,2023-02-01,15,18.4,12
U0000802,C00008,2023-03-01,13,24.9,12
U0000803,C00008,2023-04-01,13,22.9,4
U0000804,C00008,2023-05-01,12,21.3,9
U0000805,C00008,2023-06-01,11,20.2,11
U0000806,C00008,2023-07-01,5,19.5,9
U0000807,C00008,2023-08-01,11,21.5,6
U0000808,C00008,2023-09-01,14,23.1,11
U0000809,C00008,2023-10-01,10,23.7,9
U0000810,C00008,2023-11-01,9,19.1,6
U0000811,C00008,2023-12-01,16,21.3,8
U0000812,C00008,2024-01-01,13,16.5,6
U0000813,C00008,2024-02-01,14,18.8,8
U0000814,C00008,2024-03-01,7,18.6,9
U0000815,C00008,2024-04-01,9,13.5,10
U0000816,C00008,2024-05-01,12,14.1,6
U0000817,C00008,2024-06-01,12,24.6,10
U0000818,C00008,2024-07-01,7,17.4,5
U0000819,C00008,2024-08-01,10,16.2,7
U0000820,C00008,2024-09-01,18,22.8,9
U0000821,C00008,2024-10-01,10,17.3,7
U0000822,C00008,2024-11-01,11,18.9,11
U0000823,C00008,2024-12-01,14,19.0,7
U0000824,C00008,2025-01-01,11,23.1,7
U0000825,C00008,2025-02-01,18,20.3,9
U0000826,C00008,2025-03-01,12,15.1,11
U0000827,C00008,2025-04-01,9,15.2,11
U0000828,C00008,2025-05-01,17,22.8,7
U0000829,C00008,2025-06-01,12,20.1,10
U0000830,C00008,2025-07-01,5,21.5,10
U0000831,C00008,2025-08-01,11,17.0,8
U0000900,C00009,2023-01-01,27,32.6,16
U0000901,C00009,2023-02-01,20,38.6,20
U0000902,C00009,2023-03-01,21,28.5,15
U0000903,C00009,2023-04-01,23,28.8,15
U0000904,C00009,2023-05-01,21,26.6,21
U0000905,C00009,2023-06-01,25,33.1,17
U0000906,C00009,2023-07-01,21,41.3,17
U0000907,C00009,2023-08-01,25,33.5,20
U0000908,C00009,2023-09-01,17,40.8,21
U0000909,C00009,2023-10-01,21,42.6,19
U0000910,C00009,2023-11-01,32,44.3,21
U0000911,C00009,2023-12-01,16,41.5,15
U0000912,C00009,2024-01-01,23,41.9,19
U0000913,C00009,2024-02-01,19,41.4,20
U0000914,C00009,2024-03-01,21,41.6,18
U0000915,C00009,2024-04-01,15,42.8,20
U0000916,C00009,2024-05-01,22,35.3,12
U0000917,C00009,2024-06-01,15,44.9,19
U0000918,C00009,2024-07-01,21,38.9,17
U0000919,C00009,2024-08-01,28,30.4,18
U0000920,C00009,2024-09-01,27,28.6,16
U0000921,C00009,2024-10-01,21,39.2,17
U0000922,C00009,2024-11-01,23,40.1,20
U0000923,C00009,2024-12-01,20,43.0,18
U0000924,C00009,2025-01-01,25,34.6,19
U0000925,C00009,2025-02-01,25,45.5,18
U0000926,C00009,2025-03-01,23,36.8,19
U0000927,C00009,2025-04-01,23,42.8,17
U0000928,C00009,2025-05-01,19,44.9,20
U0000929,C00009,2025-06-01,20,31.1,18
U0000930,C00009,2025-07-01,22,44.2,18
U0000931,C00009,2025-08-01,19,42.5,18
U0001000,C00010,2023-01-01,26,35.4,19
U0001001,C00010,2023-02-01,22,49.3,19
U0001002,C00010,2023-03-01,22,50.5,21
U0001003,C00010,2023-04-01,31,46.9,19
U0001004,C00010,2023-05-01,28,50.0,21
U0001005,C00010,2023-06-01,19,50.8,21
U0001006,C00010,2023-07-01,27,38.0,17
U0001007,C00010,2023-08-01,23,39.9,21
U0001008,C00010,2023-09-01,20,29.4,20
U0001009,C00010,2023-10-01,16,31.1,20
U0001010,C00010,2023-11-01,16,30.1,21
U0001011,C00010,2023-12-01,29,45.8,17
U0001012,C00010,2024-01-01,22,38.7,19
U0001013,C00010,2024-02-01,28,47.7,17
U0001014,C00010,2024-03-01,19,29.4,22
U0001015,C00010,2024-04-01,29,42.2,19
U0001016,C00010,2024-05-01,27,50.3,19
U0001017,C00010,2024-06-01,32,40.7,18
U0001018,C00010,2024-07-01,27,37.3,17
U0001019,C00010,2024-08-01,20,40.5,21
U0001020,C00010,2024-09-01,22,28.0,18
U0001021,C00010,2024-10-01,31,37.7,17
U0001022,C00010,2024-11-01,19,49.2,18
U0001023,C00010,2024-12-01,26,36.1,21
U0001024,C00010,2025-01-01,22,51.5,17
U0001025,C00010,2025-02-01,23,50.2,22
U0001026,C00010,2025-03-01,32,30.9,20
U0001027,C00010,2025-04-01,24,31.1,16
U0001028,C00010,2025-05-01,32,40.4,20
U0001029,C00010,2025-06-01,25,32.0,17
U0001030,C00010,2025-07-01,23,49.0,19
U0001031,C00010,2025-08-01,25,36.5,14
U0001100,C00011,2023-01-01,14,25.0,10
U0001101,C00011,2023-02-01,8,17.7,9
U0001102,C00011,2023-03-01,17,26.7,9
U0001103,C00011,2023-04-01,13,26.1,8
U0001104,C00011,2023-05-01,11,20.9,10
U0001105,C00011,2023-06-01,17,27.6,11
U0001106,C00011,2023-07-01,3,10.5,6
U0001107,C00011,2023-08-01,5,5.3,0
U0001108,C00011,2023-09-01,2,2.8,2
U0001200,C00012,2023-01-01,24,38.5,19
U0001201,C00012,2023-02-01,15,24.9,15
U0001202,C00012,2023-03-01,21,24.0,14
U0001203,C00012,2023-04-01,25,36.0,13
U0001204,C00012,2023-05-01,13,40.8,12
U0001205,C00012,2023-06-01,15,23.8,16
U0001206,C00012,2023-07-01,22,34.1,11
U0001207,C00012,2023-08-01,23,34.2,17
U0001208,C00012,2023-09-01,25,39.5,16
U0001209,C00012,2023-10-01,23,31.3,14
U0001210,C00012,2023-11-01,17,24.8,16
U0001211,C00012,2023-12-01,15,35.0,14
U0001212,C00012,2024-01-01,6,38.0,18
U0001213,C00012,2024-02-01,15,32.3,14
U0001214,C00012,2024-03-01,18,23.7,16
U0001215,C00012,2024-04-01,15,29.6,16
U0001216,C00012,2024-05-01,21,32.5,17
U0001217,C00012,2024-06-01,18,32.2,16
U0001218,C00012,2024-07-01,22,26.8,16
U0001219,C00012,2024-08-01,16,27.3,16
U0001220,C00012,2024-09-01,18,33.1,16
U0001221,C00012,2024-10-01,20,37.6,15
U0001222,C00012,2024-11-01,15,30.2,12
U0001223,C00012,2024-12-01,22,34.3,14
U0001224,C00012,2025-01-01,19,23.5,17
U0001225,C00012,2025-02-01,16,38.2,14
U0001226,C00012,2025-03-01,12,38.0,14
U0001227,C00012,2025-04-01,16,23.6,16
U0001228,C00012,2025-05-01,17,29.4,16
U0001229,C00012,2025-06-01,23,30.9,15
U0001230,C00012,2025-07-01,25,28.0,16
U0001231,C00012,2025-08-01,18,37.2,14
U0001300,C00013,2023-01-01,14,22.9,9
U0001301,C00013,2023-02-01,23,23.9,8
U0001302,C00013,2023-03-01,12,20.9,10
U0001303,C00013,2023-04-01,18,25.1,12
U0001304,C00013,2023-05-01,23,18.7,9
U0001305,C00013,2023-06-01,11,18.3,11
U0001306,C00013,2023-07-01,13,22.9,11
U0001307,C00013,2023-08-01,9,24.0,12
U0001308,C00013,2023-09-01,15,26.4,11
U0001309,C00013,2023-10-01,14,18.9,11
U0001310,C00013,2023-11-01,10,21.5,11
U0001311,C00013,2023-12-01,23,19.8,11
U0001312,C00013,2024-01-01,14,17.0,11
U0001313,C00013,2024-02-01,20,19.4,11
U0001314,C00013,2024-03-01,13,26.7,14
U0001315,C00013,2024-04-01,15,28.4,9
U0001316,C00013,2024-05-01,14,27.3,10
U0001317,C00013,2024-06-01,15,23.2,10
U0001318,C00013,2024-07-01,15,28.5,11
U0001319,C00013,2024-08-01,15,28.6,14
U0001320,C00013,2024-09-01,8,28.9,11
U0001321,C00013,2024-10-01,9,20.1,13
U0001322,C00013,2024-11-01,15,21.8,8
U0001323,C00013,2024-12-01,17,22.0,10
U0001324,C00013,2025-01-01,16,25.4,12
U0001325,C00013,2025-02-01,14,26.0,15
U0001326,C00013,2025-03-01,11,17.6,14
U0001327,C00013,2025-04-01,17,22.2,8
U0001328,C00013,2025-05-01,15,19.2,11
U0001329,C00013,2025-06-01,16,18.4,12
U0001330,C00013,2025-07-01,9,21.0,12
U0001331,C00013,2025-08-01,14,23.3,9
U0001400,C00014,2023-01-01,24,44.0,22
U0001401,C00014,2023-02-01,22,45.2,16
U0001402,C00014,2023-03-01,27,36.9,20
U0001403,C00014,2023-04-01,24,48.2,19
U0001404,C00014,2023-05-01,15,50.9,20
U0001405,C00014,2023-06-01,25,50.1,19
U0001406,C00014,2023-07-01,29,37.2,18
U0001407,C00014,2023-08-01,27,42.3,19
U0001408,C00014,2023-09-01,22,44.4,19
U0001409,C00014,2023-10-01,24,38.8,22
U0001410,C00014,2023-11-01,19,30.2,20
U0001411,C00014,2023-12-01,23,42.4,21
U0001412,C00014,2024-01-01,25,36.5,18
U0001413,C00014,2024-02-01,20,48.1,19
U0001414,C00014,2024-03-01,25,51.9,20
U0001415,C00014,2024-04-01,21,34.1,18
U0001416,C00014,2024-05-01,27,31.1,22
U0001417,C00014,2024-06-01,27,31.8,19
U0001418,C00014,2024-07-01,32,41.4,21
U0001419,C00014,2024-08-01,25,35.5,20
U0001420,C00014,2024-09-01,22,33.2,18
U0001421,C00014,2024-10-01,24,28.2,17
U0001422,C00014,2024-11-01,25,52.0,20
U0001423,C00014,2024-12-01,28,45.2,19
U0001424,C00014,2025-01-01,35,30.9,23
U0001425,C00014,2025-02-01,28,50.3,21
U0001426,C00014,2025-03-01,21,40.9,16
U0001427,C00014,2025-04-01,27,47.0,21
U0001428,C00014,2025-05-01,23,35.2,20
U0001429,C00014,2025-06-01,22,46.3,20
U0001430,C00014,2025-07-01,22,28.8,19
U0001431,C00014,2025-08-01,26,49.9,21
U0001500,C00015,2023-01-01,14,38.9,11
U0001501,C00015,2023-02-01,22,25.4,18
U0001502,C00015,2023-03-01,18,37.1,14
U0001503,C00015,2023-04-01,26,38.7,16
U0001504,C00015,2023-05-01,18,34.5,13
U0001505,C00015,2023-06-01,17,39.0,15
U0001506,C00015,2023-07-01,23,34.4,17
U0001507,C00015,2023-08-01,22,31.2,18
U0001508,C00015,2023-09-01,10,12.6,8
U0001509,C00015,2023-10-01,5,8.1,3
U0001510,C00015,2023-11-01,1,5.7,4
U0001600,C00016,2023-01-01,20,30.2,20
U0001601,C00016,2023-02-01,29,38.6,17
U0001602,C00016,2023-03-01,25,41.4,19
U0001603,C00016,2023-04-01,28,33.8,19
U0001604,C00016,2023-05-01,19,33.3,17
U0001605,C00016,2023-06-01,23,44.1,20
U0001606,C00016,2023-07-01,25,33.0,15
U0001607,C00016,2023-08-01,25,41.8,20
U0001608,C00016,2023-09-01,19,32.4,23
U0001609,C00016,2023-10-01,23,49.0,17
U0001610,C00016,2023-11-01,24,42.9,19
U0001611,C00016,2023-12-01,29,37.9,18
U0001612,C00016,2024-01-01,19,40.4,22
U0001613,C00016,2024-02-01,25,35.6,20
U0001614,C00016,2024-03-01,21,43.1,17
U0001615,C00016,2024-04-01,22,38.1,21
U0001616,C00016,2024-05-01,18,38.0,16
U0001617,C00016,2024-06-01,24,46.7,16
U0001618,C00016,2024-07-01,20,40.0,19
U0001619,C00016,2024-08-01,22,44.8,22
U0001620,C00016,2024-09-01,22,35.3,18
U0001621,C00016,2024-10-01,31,46.2,20
U0001622,C00016,2024-11-01,23,47.1,18
U0001623,C00016,2024-12-01,32,36.1,20
U0001624,C00016,2025-01-01,17,47.6,21
U0001625,C00016,2025-02-01,20,44.3,16
U0001626,C00016,2025-03-01,18,41.9,16
U0001627,C00016,2025-04-01,23,46.8,19
U0001628,C00016,2025-05-01,30,42.3,17
U0001629,C00016,2025-06-01,22,35.7,18
U0001630,C00016,2025-07-01,21,46.6,18
U0001631,C00016,2025-08-01,23,42.1,19
U0001700,C00017,2023-01-01,19,38.1,21
U0001701,C00017,2023-02-01,25,30.6,18
U0001702,C00017,2023-03-01,19,30.0,18
U0001703,C00017,2023-04-01,15,37.4,22
U0001704,C00017,2023-05-01,20,36.3,17
U0001705,C00017,2023-06-01,22,41.8,20
U0001706,C00017,2023-07-01,24,31.5,19
U0001707,C00017,2023-08-01,26,37.3,17
U0001708,C00017,2023-09-01,19,30.4,21
U0001709,C00017,2023-10-01,21,47.6,17
U0001710,C00017,2023-11-01,14,42.3,18
U0001711,C00017,2023-12-01,25,43.2,17
U0001712,C00017,2024-01-01,20,29.1,23
U0001713,C00017,2024-02-01,23,45.2,17
U0001714,C00017,2024-03-01,23,36.5,15
U0001715,C00017,2024-04-01,25,37.3,19
U0001716,C00017,2024-05-01,20,36.2,11
U0001717,C00017,2024-06-01,24,31.4,18
U0001718,C00017,2024-07-01,20,31.8,20
U0001719,C00017,2024-08-01,17,46.0,22
U0001720,C00017,2024-09-01,17,34.9,19
U0001721,C00017,2024-10-01,25,35.4,16
U0001722,C00017,2024-11-01,23,46.1,13
U0001723,C00017,2024-12-01,20,41.7,17
U0001724,C00017,2025-01-01,19,28.6,16
U0001725,C00017,2025-02-01,14,47.1,15
U0001726,C00017,2025-03-01,26,46.0,13
U0001727,C00017,2025-04-01,19,43.1,21
U0001728,C00017,2025-05-01,23,39.7,18
U0001729,C00017,2025-06-01,28,31.7,16
U0001730,C00017,2025-07-01,23,42.7,17
U0001731,C00017,2025-08-01,21,43.7,23
U0001800,C00018,2023-01-01,18,26.6,14
U0001801,C00018,2023-02-01,21,22.3,16
U0001802,C00018,2023-03-01,22,35.7,13
U0001803,C00018,2023-04-01,11,34.8,17
U0001804,C00018,2023-05-01,18,26.2,12
U0001805,C00018,2023-06-01,22,31.5,13
U0001806,C00018,2023-07-01,19,24.7,16
U0001807,C00018,2023-08-01,15,29.2,17
U0001808,C00018,2023-09-01,13,23.6,12
U0001809,C00018,2023-10-01,9,8.8,9
U0001810,C00018,2023-11-01,2,6.6,2
U0001811,C00018,2023-12-01,3,5.1,0
U0001900,C00019,2023-01-01,19,23.4,11
U0001901,C00019,2023-02-01,12,21.4,7
U0001902,C00019,2023-03-01,5,9.1,4
U0001903,C00019,2023-04-01,0,5.0,1
U0001904,C00019,2023-05-01,1,2.0,0
U0002000,C00020,2023-01-01,11,19.9,14
U0002001,C00020,2023-02-01,14,31.1,15
U0002002,C00020,2023-03-01,21,33.0,10
U0002003,C00020,2023-04-01,10,23.8,13
U0002004,C00020,2023-05-01,11,28.1,16
U0002005,C00020,2023-06-01,9,22.5,14
U0002006,C00020,2023-07-01,17,33.5,10
U0002007,C00020,2023-08-01,12,25.4,17
U0002008,C00020,2023-09-01,18,28.1,13
U0002009,C00020,2023-10-01,18,27.9,13
U0002010,C00020,2023-11-01,14,29.6,14
U0002011,C00020,2023-12-01,12,25.0,15
U0002012,C00020,2024-01-01,11,24.0,13
U0002013,C00020,2024-02-01,6,8.6,3
U0002014,C00020,2024-03-01,8,6.2,2
U0002015,C00020,2024-04-01,0,4.3,0
U0002100,C00021,2023-01-01,15,28.9,15
U0002101,C00021,2023-02-01,14,31.5,11
U0002102,C00021,2023-03-01,18,28.7,12
U0002103,C00021,2023-04-01,18,26.5,15
U0002104,C00021,2023-05-01,10,32.8,15
U0002105,C00021,2023-06-01,15,30.7,15
U0002106,C00021,2023-07-01,16,37.0,16
U0002107,C00021,2023-08-01,16,27.3,17
U0002108,C00021,2023-09-01,21,23.5,15
U0002109,C00021,2023-10-01,15,28.5,15
U0002110,C00021,2023-11-01,25,33.5,11
U0002111,C00021,2023-12-01,19,20.5,13
U0002112,C00021,2024-01-01,22,31.8,14
U0002113,C00021,2024-02-01,19,25.0,13
U0002114,C00021,2024-03-01,17,36.1,16
U0002115,C00021,2024-04-01,16,26.4,11
U0002116,C00021,2024-05-01,15,34.4,13
U0002117,C00021,2024-06-01,14,27.4,9
U0002118,C00021,2024-07-01,10,31.4,18
U0002119,C00021,2024-08-01,10,28.9,11
U0002120,C00021,2024-09-01,29,32.9,14
U0002121,C00021,2024-10-01,20,21.0,15
U0002122,C00021,2024-11-01,15,25.6,16
U0002123,C00021,2024-12-01,22,30.1,14
U0002124,C00021,2025-01-01,18,36.7,11
U0002125,C00021,2025-02-01,13,29.1,18
U0002126,C00021,2025-03-01,12,20.5,13
U0002127,C00021,2025-04-01,19,29.6,13
U0002128,C00021,2025-05-01,18,27.1,14
U0002129,C00021,2025-06-01,19,31.8,14
U0002130,C00021,2025-07-01,18,23.3,17
U0002131,C00021,2025-08-01,18,29.8,13
U0002200,C00022,2023-01-01,21,28.1,18
U0002201,C00022,2023-02-01,23,45.5,22
U0002202,C00022,2023-03-01,16,32.6,18
U0002203,C00022,2023-04-01,23,36.6,16
U0002204,C00022,2023-05-01,29,44.8,18
U0002205,C00022,2023-06-01,22,36.9,17
U0002206,C00022,2023-07-01,19,43.3,18
U0002207,C00022,2023-08-01,15,32.6,19
U0002208,C00022,2023-09-01,21,35.8,22
U0002209,C00022,2023-10-01,24,43.5,17
U0002210,C00022,2023-11-01,20,33.2,19
U0002211,C00022,2023-12-01,24,46.8,20
U0002212,C00022,2024-01-01,18,26.2,16
U0002213,C00022,2024-02-01,23,34.6,15
U0002214,C00022,2024-03-01,16,45.8,17
U0002215,C00022,2024-04-01,16,31.3,16
U0002216,C00022,2024-05-01,17,28.9,16
U0002217,C00022,2024-06-01,27,31.0,19
U0002218,C00022,2024-07-01,16,34.5,18
U0002219,C00022,2024-08-01,28,47.9,16
U0002220,C00022,2024-09-01,22,46.5,18
U0002221,C00022,2024-10-01,25,40.9,14
U0002222,C00022,2024-11-01,24,46.3,22
U0002223,C00022,2024-12-01,18,27.1,20
U0002224,C00022,2025-01-01,24,46.3,17
U0002225,C00022,2025-02-01,17,31.8,14
U0002226,C00022,2025-03-01,21,26.7,17
U0002227,C00022,2025-04-01,24,31.5,19
U0002228,C00022,2025-05-01,24,41.1,17
U0002229,C00022,2025-06-01,24,31.5,17
U0002230,C00022,2025-07-01,25,37.6,17
U0002231,C00022,2025-08-01,18,31.1,20
U0002300,C00023,2023-01-01,20,27.3,16
